name,count
"Bart Simpson",85
"Homer Simpson",28
"Mitchell",22
"Marge Simpson",17
"Lisa Simpson",15
"Chief Wiggum",9
"Lou",4
"Comic Book Guy",3
"Kent Brockman",3
"Moe Szyslak",3
"Groundskeeper Willie",3
"Rev. Timothy Lovejoy",3
"Credit Representative",2
"Repo Goon #2",2
"C. Montgomery Burns",2
"Milhouse Van Houten",2
"Captain",2
"Tommy",2
"Agnes Skinner",2
"Computerized Japanese Voice",1
"Legs",1
"Otto Mann",1
"Heiress",1
"Lumley",1
"Distant Voice",1
"FIRE-STOKER",1
"Voice",1
"Mayor Joe Quimby",1
"Patty Bouvier",1
"Eddie",1
