name,count
"Simpson Home",53
"Springfield Airport",42
"FOYER",26
"Chateau Maison",25
"Springfield Elementary School Yard",18
"WINERY",18
"Flanders Home",16
"Town",11
"Bart's Bedroom",9
"LIVING ROOM",9
"Springfield Nuclear Power Plant",9
"TIRANA, ALBANIA AIRPORT",7
"Simpson Dining Room",7
"VINEYARDS",6
"UPSTAIRS HALLWAY",5
"DOWNSTAIRS HALLWAY",5
"FRENCH COUNTRYSIDE",5
"Boys' Bathroom",3
"Hallway",3
"Springfield Elementary School Hallway",2
"Springfield Elementary School",2
"FRENCH MOUNTAINSIDE",1
"PLUTONIUM ISOLATION MODULE",1
"Bart's Treehouse",1
"Albanian Intelligence Headquarters",1
