name,count
"Homer Simpson",80
"Mindy",26
"C. Montgomery Burns",13
"Bart Simpson",11
"Angel",9
"Waylon Smithers",8
"Lenny Leonard",6
"Edna Krabappel-Flanders",6
"Martin Prince",6
"Carl Carlson",6
"Marge Simpson",6
"Lisa Simpson",6
"Nelson Muntz",4
"Announcer",4
"Homer's Brain",4
"Barney Gumble",3
"Ned Flanders",3
"Milhouse Van Houten",2
"Seymour Skinner",2
"Charlie",2
"Agent #1",2
"Dr. Julius Hibbert",2
"Optometrist",2
"Cherub Lenny",2
"Cherub Carl",2
"Jimbo Jones",2
"Moe Szyslak",2
"Sexy Woman Announcer",2
"Students",2
"Man",2
"Arab Men",1
"Zutroy",1
"Agent #2",1
"Dermatologist",1
"Podiatrist",1
"Internist",1
"Jerry Lewis Bart",1
"Terri Mackleberry",1
"Fish",1
"Kearney Zzyzwicz",1
"Grampa Simpson",1
"Kent Brockman",1
"Jeeves",1
"WHITE HOUSE AIDE",1
"Lionel Hutz",1
"Turban Kid",1
"Fat Kid",1
"Nerds",1
"Big Hand Man",1
"Bellhop",1
"Todd Flanders",1
"Hans Moleman",1
"Passerby #1",1
"Passerby #2",1
"Chinese Waiter #1",1
"Chinese Waiter #2",1
