name,count
"Grampa Simpson",67
"Bart Simpson",32
"C. Montgomery Burns",31
"Homer Simpson",7
"Lisa Simpson",6
"VIDAL",6
"Ned Flanders",6
"Grampa Van Houten",4
"Waylon Smithers",4
"Edna Krabappel-Flanders",3
"Marge Simpson",3
"Iggy Wiggum",3
"Nurse",2
"Sheldon Skinner",2
"Ox",2
"Arnie Gumble",2
"State Dept. Man #1",2
"State Dept. Man #2",2
"Von W̦rtzenburger",2
"Judge Grandfather",1
"Nelson Muntz",1
"Martin Prince",1
"Rev. Timothy Lovejoy",1
"Voice On Intercom",1
"Phony Homer",1
"Phony Marge",1
"Jasper Beardly",1
"Etch",1
"ROD/TODD",1
"VON W��RTZENURGER",1
