name,count
"Simpson Home",37
"Amusement Park",19
"Springfield Retirement Castle",19
"Grampa's Compartment",19
"Seaworld-type Park",16
"Springfield Union Station",15
"Springfield Elementary School",12
"STORM DRAIN",11
"INSIDE AQUATIC STADIUM",10
"Street",8
"TINSELTOWN STARLINER",8
"Springfield",7
"REC ROOM",7
"Burns Manor",7
"Train",6
"Mrs. Krabappel's Classroom",4
"Gym Class",4
"MARSHALL GOLDMAN'S OFFICE",3
"Springfield Street",2
"Springfield Shopper",2
"Beach",2
"Train Car",1
