name,count
"Marge Simpson",54
"CHLOE",46
"Homer Simpson",36
"Lisa Simpson",32
"Bart Simpson",9
"Kent Brockman",9
"Mayor Joe Quimby",8
"Tom Brokaw",6
"Hard-bitten Man",3
"Chief Wiggum",3
"Luigi",2
"Grampa Simpson",2
"Announcer",2
"Teenage Moe",2
"Producer",2
"Women",2
"Barney Gumble",2
"News Crew Member #1",1
"News Crew Member #2",1
"Cookie Kwan",1
"Baby",1
"Miss Springfield",1
"Crowd",1
"Krusty the Clown",1
"Principal Dondelinger",1
"Teenage Barney",1
"Lisa's Reflection",1
"Conf. Delegate",1
"Squeaky-Voiced Teen",1
"Buddha",1
"SPONGE BOB",1
"Teenage Homer",1
