name,count
"Bookaccino's",35
"Moe's Tavern",25
"PRINTING ROOM FLOOR",20
"SLICK PUBLISHER'S OFFICE",18
"OUTER CONCOURSE",14
"TWEEN LIT INC. MEETING ROOM",13
"Duff Center Arena",12
"Noiseland Arcade",12
"Simpson Kitchen",10
"Lisa's Bedroom",10
"Springfield",10
"BOOKACCINOS",9
"Skinner Home",7
"LITERARY TOWERS LOBBY",7
"Changing Room",6
"Simpson Home",6
"CONVENTION FLOOR",6
"House",4
"LITERARY TOWERS",4
"Backstage Area",3
"Springfield Convention Center",3
"Patty and Selma's Apartment",2
"CORPORATE SKYSCRAPER",1
"Skyscraper",1
