name,count
"Marge Simpson",59
"Homer Simpson",53
"Bart Simpson",24
"Lisa Simpson",19
"Milhouse Van Houten",11
"Head Judge",8
"Chief Wiggum",6
"James Caan",5
"Ralph Wiggum",4
"Contractor",3
"Ned Flanders",3
"Nelson Muntz",3
"STUART",3
"Luigi",3
"Agnes Skinner",3
"Brandine Del Roy",3
"Cletus Spuckler",3
"Moe Szyslak",2
"Sideshow Mel",2
"Apu Nahasapeemapetilon",2
"Kent Brockman",2
"Billy Bullion Cube",2
"Announcer",1
"Owner",1
"Blackula",1
"2nd Homer",1
"Angelo",1
"Carl Carlson",1
"Lenny Leonard",1
"Dewey Largo",1
"Thomas Pynchon",1
"Crowd",1
"Marge's Face",1
"Man",1
"Edna Krabappel-Flanders",1
"Old Woman",1
"Twinkle the Kidd",1
"PRINGLES-TYPE MAN",1
"Koobler Dwarf",1
"Food Icons",1
"Audience",1
