name,count
"Homer Simpson",51
"Apu Nahasapeemapetilon",46
"Lisa Simpson",19
"Marge Simpson",9
"Bart Simpson",6
"Mayor Joe Quimby",6
"Mob",5
"Grampa Simpson",5
"Moe Szyslak",4
"I.N.S. AGENT",4
"Chief Wiggum",3
"Aide",3
"Seymour Skinner",3
"Helen Lovejoy",3
"Groundskeeper Willie",3
"Ned Flanders",2
"Maude Flanders",2
"Kent Brockman",2
"Barney Gumble",2
"Young Apu",2
"Young Frink",2
"Kearney Zzyzwicz",2
"Fat Tony",2
"Rod Flanders",1
"Lenny Leonard",1
"Nelson Muntz",1
"Uter",1
"GREAT GRAMPA",1
"Great Grampa Simpson",1
"GREAT GRAMMA SIMPSON",1
"Apu's Father",1
"Apu's Mother",1
"Manjula Nahasapeemapetilon",1
"Tom Cruise",1
"Nicole Kidman",1
"Cat",1
"Selma Bouvier",1
"Lou",1
"Eddie",1
"Young Grampa",1
