name,count
"Homer Simpson",73
"Marge Simpson",54
"Lisa Simpson",16
"Temperance",12
"Ned Flanders",10
"Bart Simpson",9
"Captain Mordecai",8
"CYRUS MANLEY",7
"Apu Nahasapeemapetilon",5
"Esme Delacroix",4
"Boris",4
"Security Voice",2
"Government Official",2
"C. Montgomery Burns",2
"Husband",2
"Wife",2
"Conscience",2
"Thomas Pynchon",2
"Dr. Marvin Monroe",2
"Helen Lovejoy",2
"Ashley Olsen",2
"Squeaky-Voiced Teen",1
"Krusty Doll",1
"Groundskeeper Willie",1
"Siren",1
"Comic Book Guy",1
"Bartleby",1
"Leezakiah",1
"FLANDERS' VOICE",1
"Jealousy",1
"Honesty",1
"Libido",1
"Tom Clancy",1
"Rev. Timothy Lovejoy",1
"Otto Mann",1
"Springfieldites",1
"Moe Szyslak",1
"Mary-Kate Olsen",1
"Nelson Muntz",1
"Homer's Thoughts",1
