id,title,original_air_date,season,number_in_season,us_viewers_in_millions,imdb_rating,image_url,video_url
33,The War of the Simpsons,5/2/91,2,20,19.7,7.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/366/579/the_war_of_simpsons.jpg,http://www.simpsonsworld.com/video/272040003661
34,Three Men and a Comic Book,5/9/91,2,21,21,8.4,http://static-media.fxx.com/img/FX_Networks_-_FXX/55/807/Simpsons_02_21.jpg,http://www.simpsonsworld.com/video/310368835964
35,Blood Feud,7/11/91,2,22,17.3,8,http://static-media.fxx.com/img/FX_Networks_-_FXX/368/31/Simpsons_02_22.jpg,http://www.simpsonsworld.com/video/272041539932
36,Stark Raving Dad,9/19/91,3,1,22.9,8.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/551/639/Simpsons_03_02.jpg,http://www.simpsonsworld.com/video/272234051980
37,Mr. Lisa Goes to Washington,9/26/91,3,2,20.2,7.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/305/315/MrLisaGoestoWashington.jpg,http://www.simpsonsworld.com/video/275196995796
38,When Flanders Failed,10/3/91,3,3,22.8,8.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/377/314/WhenFlandersFailed.jpg,http://www.simpsonsworld.com/video/272051267562
39,Bart the Murderer,10/10/91,3,4,20.8,8.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/241/939/BarttheMurderer.jpg,http://www.simpsonsworld.com/video/288015427922
40,Homer Defined,10/17/91,3,5,20.6,8.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/210/387/HomerDefined.jpg,http://www.simpsonsworld.com/video/256843843704
41,"Like Father, Like Clown",10/24/91,3,6,20.2,7.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/239/191/Simpsons_03_07.jpg,http://www.simpsonsworld.com/video/256874051703
42,Treehouse of Horror II,10/31/91,3,7,20,8.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/380/243/Simpsons_03_04.jpg,http://www.simpsonsworld.com/video/272054339616
43,Lisa's Pony,11/7/91,3,8,23,7.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/61/163/Simpsons_03_Lisas_Pony.jpg,http://www.simpsonsworld.com/video/310374467809
44,Saturdays of Thunder,11/14/91,3,9,24.7,7.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/262/139/SaturdaysofThunder.jpg,http://www.simpsonsworld.com/video/256898115598
45,Flaming Moe's,11/21/91,3,10,23.9,8.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/688/495/FlamingMoes.jpg,http://www.simpsonsworld.com/video/305663555961
46,Burns Verkaufen der Kraftwerk,12/5/91,3,11,21.1,8.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/66/542/BURNS_DE_KRAFTWERK.jpg,http://www.simpsonsworld.com/video/310380099512
47,I Married Marge,12/26/91,3,12,21.9,8.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/43/355/I_Married_Marge.jpg,http://www.simpsonsworld.com/video/299618371603
48,Radio Bart,1/9/92,3,13,24.2,8.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/378/791/RadioBart.jpg,http://www.simpsonsworld.com/video/272052803895
49,Lisa the Greek,1/23/92,3,14,23.2,8,http://static-media.fxx.com/img/FX_Networks_-_FXX/643/854/LisatheGreek.jpg,http://www.simpsonsworld.com/video/273404483565
50,Homer Alone,2/6/92,3,15,23.7,8,http://static-media.fxx.com/img/FX_Networks_-_FXX/542/855/HomerAlone.jpg,http://www.simpsonsworld.com/video/272224835795
51,Bart the Lover,2/13/92,3,16,20.5,8.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/546/759/BarttheLover.jpg,http://www.simpsonsworld.com/video/272228931984
52,Homer at the Bat,2/20/92,3,17,24.6,8.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/66/543/HomerattheBat.jpg,http://www.simpsonsworld.com/video/310380099768
53,Separate Vocations,2/27/92,3,18,23.7,8.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/426/747/SeparateVocations.jpg,http://www.simpsonsworld.com/video/263513155607
54,Dog of Death,3/12/92,3,19,23.4,7.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/573/459/Simpsons_03_19.jpg,http://www.simpsonsworld.com/video/274404419620
55,Colonel Homer,3/26/92,3,20,25.5,7.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/534/47/ColonelHomer.jpg,http://www.simpsonsworld.com/video/272215619762
56,Black Widower,4/9/92,3,21,17.3,8.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/539/427/BlackWidower.jpg,http://www.simpsonsworld.com/video/272221251812
57,The Otto Show,4/23/92,3,22,17.5,7.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/958/415/TheOttoShow.jpg,http://www.simpsonsworld.com/video/279103043694
58,Bart's Friend Falls in Love,5/7/92,3,23,19.5,7.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/140/895/BartsFriendFallsInLove.jpg,http://www.simpsonsworld.com/video/280393283967
59,"Brother, Can You Spare Two Dimes?",8/27/92,3,24,17.2,8.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/954/11/BrotherCanYouSpare.jpg,http://www.simpsonsworld.com/video/279098435798
60,Kamp Krusty,9/24/92,4,1,21.8,8.4,http://static-media.fxx.com/img/FX_Networks_-_FXX/987/218/Simpsons_04_02.jpg,http://www.simpsonsworld.com/video/279133251579
61,A Streetcar Named Marge,10/1/92,4,2,18.3,8.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/770/807/Simpsons_04_01__722726.jpg,http://www.simpsonsworld.com/video/273537603751
62,Homer the Heretic,10/8/92,4,3,19.3,9,http://static-media.fxx.com/img/FX_Networks_-_FXX/991/623/Simpsons_04_03.jpg,http://www.simpsonsworld.com/video/279137859827
63,Lisa the Beauty Queen,10/15/92,4,4,19,7.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/770/807/Simpsons_04_04.jpg,http://www.simpsonsworld.com/video/273537603930
64,Treehouse of Horror III,10/29/92,4,5,25.1,8.4,http://static-media.fxx.com/img/FX_Networks_-_FXX/693/375/Simpsons_04_06.jpg,http://www.simpsonsworld.com/video/305668675610
65,Itchy & Scratchy: The Movie,11/3/92,4,6,20.1,8.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/672/279/Simpsons_04_05.jpg,http://www.simpsonsworld.com/video/278803011830
66,Marge Gets a Job,11/5/92,4,7,22.9,7.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/38/975/Simpsons_04_07.jpg,http://www.simpsonsworld.com/video/299613763656
67,New Kid on the Block,11/12/92,4,8,23.1,8.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/775/187/Simpsons_04_08.jpg,http://www.simpsonsworld.com/video/273542211871
68,Mr. Plow,11/19/92,4,9,24,8.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/777/139/Simpsons_04_09.jpg,http://www.simpsonsworld.com/video/273544259768
69,Lisa's First Word,12/3/92,4,10,28.6,8.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/252/675/Simpsons_04_10.jpg,http://www.simpsonsworld.com/video/288026691837
70,Homer's Triple Bypass,12/17/92,4,11,23.6,8.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/781/42/Simpsons_04_11.jpg,http://www.simpsonsworld.com/video/273548355538
71,Marge vs. the Monorail,1/14/93,4,12,23,9,http://static-media.fxx.com/img/FX_Networks_-_FXX/353/959/Simpsons_04_12.jpg,http://www.simpsonsworld.com/video/306386499796
72,Selma's Choice,1/21/93,4,13,24.5,8,http://static-media.fxx.com/img/FX_Networks_-_FXX/72/899/Simpsons_04_13.jpg,http://www.simpsonsworld.com/video/310386755912
73,Brother from the Same Planet,2/4/93,4,14,23.8,8.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/286/347/Simpsons_04_14.jpg,http://www.simpsonsworld.com/video/274103363992
74,I Love Lisa,2/11/93,4,15,25.2,8.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/290/251/Simpsons_04_15.jpg,http://www.simpsonsworld.com/video/274107459686
75,Duffless,2/18/93,4,16,25.7,8.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/214/847/Simpsons_04_16_Duffless.jpg,http://www.simpsonsworld.com/video/277249603926
76,Last Exit to Springfield,3/11/93,4,17,22.4,9,http://static-media.fxx.com/img/FX_Networks_-_FXX/71/579/Simpsons_04_17_Last_Exit_to_Springfield.jpg,http://www.simpsonsworld.com/video/357630019692
77,So It's Come to This: A Simpsons Clip Show,4/1/93,4,18,25.5,7.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/695/327/Simpsons_04_19.jpg,http://www.simpsonsworld.com/video/305670723781
78,The Front,4/15/93,4,19,20.1,8.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/255/603/Simpsons_04_18.jpg,http://www.simpsonsworld.com/video/288029763650
79,Whacking Day,4/29/93,4,20,20,8.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/350/323/Simpsons_04_20.jpg,http://www.simpsonsworld.com/video/288129091929
80,Marge in Chains,5/6/93,4,21,17.3,7.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/32/119/Simpsons_04_22.jpg,http://www.simpsonsworld.com/video/299606595657
81,Krusty Gets Kancelled,5/13/93,4,22,19.4,8.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/432/843/Simpsons_04_21.jpg,http://www.simpsonsworld.com/video/274256963874
82,Homer's Barbershop Quartet,9/30/93,5,1,19.9,8.4,http://static-media.fxx.com/img/FX_Networks_-_FXX/698/755/Simpsons_05_01__100677.jpg,http://www.simpsonsworld.com/video/305674307809
83,Cape Feare,10/7/93,5,2,20,9,http://static-media.fxx.com/img/FX_Networks_-_FXX/699/231/Simpsons_05_02__845470.jpg,http://www.simpsonsworld.com/video/305674819788
84,Homer Goes to College,10/14/93,5,3,18.1,8.6,http://static-media.fxx.com/img/FX_Networks_-_FXX/146/751/Simpsons_05_04.jpg,http://www.simpsonsworld.com/video/280399427649
85,Rosebud,10/21/93,5,4,19.5,8.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/517/423/Simpsons_05_03.jpg,http://www.simpsonsworld.com/video/279714371653
86,Treehouse of Horror IV,10/28/93,5,5,24,8.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/314/99/Simpsons_05_06.jpg,http://www.simpsonsworld.com/video/275206211805
87,Marge on the Lam,11/4/93,5,6,21.7,8,http://static-media.fxx.com/img/FX_Networks_-_FXX/546/662/Simpsons_05_05.jpg,http://www.simpsonsworld.com/video/294777411510
88,Bart's Inner Child,11/11/93,5,7,18.7,7.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/310/695/Simpsons_05_07.jpg,http://www.simpsonsworld.com/video/275202627817
89,Boy-Scoutz 'n the Hood,11/18/93,5,8,20.1,8.7,http://static-media.fxx.com/img/FX_Networks_-_FXX/280/1003/Simpsons_05_08.jpg,http://www.simpsonsworld.com/video/288056387698
90,The Last Temptation of Homer,12/9/93,5,9,20.6,8.4,http://static-media.fxx.com/img/FX_Networks_-_FXX/309/219/Simpsons_05_09.jpg,http://www.simpsonsworld.com/video/275201091952
91,"$pringfield (or, How I Learned to Stop Worrying and Love Legalized Gambling)",12/16/93,5,10,17.9,8.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/684/590/Simpsons_05_10.jpg,http://www.simpsonsworld.com/video/305659459565
92,Homer the Vigilante,1/6/94,5,11,20.1,8.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/702/159/Simpsons_05_11.jpg,http://www.simpsonsworld.com/video/305677891810
93,Bart Gets Famous,2/3/94,5,12,20,8.1,http://static-media.fxx.com/img/FX_Networks_-_FXX/1019/279/Simpsons_05_13.jpg,http://www.simpsonsworld.com/video/302789187885
94,Homer and Apu,2/10/94,5,13,21.8,8.3,http://static-media.fxx.com/img/FX_Networks_-_FXX/519/875/Simpsons_05_12.jpg,http://www.simpsonsworld.com/video/279716931614
95,Lisa vs. Malibu Stacy,2/17/94,5,14,20.5,8.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/435/771/Simpsons_05_14.jpg,http://www.simpsonsworld.com/video/274260035625
96,Deep Space Homer,2/24/94,5,15,18.2,8.8,http://static-media.fxx.com/img/FX_Networks_-_FXX/804/339/Simpsons_05_15__481014.jpg,http://www.simpsonsworld.com/video/275720259883
97,Homer Loves Flanders,3/17/94,5,16,18,8.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/83/635/Simpsons_05_16__340809.jpg,http://www.simpsonsworld.com/video/310398019629
98,Bart Gets an Elephant,3/31/94,5,17,17,7.9,http://static-media.fxx.com/img/FX_Networks_-_FXX/810/195/Simpsons_05_17.jpg,http://www.simpsonsworld.com/video/275726403611
99,Burns' Heir,4/14/94,5,18,14.7,8.4,http://static-media.fxx.com/img/FX_Networks_-_FXX/267/619/Simpsons_05_18.jpg,http://www.simpsonsworld.com/video/283747395787
100,Sweet Seymour Skinner's Baadasssss Song,4/28/94,5,19,19.7,8.4,http://static-media.fxx.com/img/FX_Networks_-_FXX/435/771/Simpsons_05_19.jpg,http://www.simpsonsworld.com/video/274260035741
101,The Boy Who Knew Too Much,5/5/94,5,20,15.5,8.2,http://static-media.fxx.com/img/FX_Networks_-_FXX/665/947/Simpsons_05_20.jpg,http://www.simpsonsworld.com/video/278796355962
102,Lady Bouvier's Lover,5/12/94,5,21,15.1,7.5,http://static-media.fxx.com/img/FX_Networks_-_FXX/706/62/Simpsons_05_22.jpg,http://www.simpsonsworld.com/video/305681987583
103,Secrets of a Successful Marriage,5/19/94,5,22,15.6,8,http://static-media.fxx.com/img/FX_Networks_-_FXX/522/803/Simpsons_05_21__042261.jpg,http://www.simpsonsworld.com/video/279720003973
